id,title,genres,description,year
193,The Green Mile Chronicles 4,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 6 of an extended cinematic universe with new characters and plot twists.,1992
194,Inside Out Saga 8,Animation|Family,Emotions guide a young girl's life during a big move. This is part 7 of an extended cinematic universe with new characters and plot twists.,2021
195,Interstellar Reimagined 4,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 8 of an extended cinematic universe with new characters and plot twists.,2007
196,Inception Odyssey 1,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 2 of an extended cinematic universe with new characters and plot twists.,1987
197,The Shawshank Redemption Saga 7,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 3 of an extended cinematic universe with new characters and plot twists.",1991
198,The Shawshank Redemption Genesis 1,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 4 of an extended cinematic universe with new characters and plot twists.",2021
199,Inception Rebirth 5,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 1 of an extended cinematic universe with new characters and plot twists.,2022
200,The Godfather Eclipse 2,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 4 of an extended cinematic universe with new characters and plot twists.,2007
201,Inside Out Chronicles 6,Animation|Family,Emotions guide a young girl's life during a big move. This is part 5 of an extended cinematic universe with new characters and plot twists.,2014
202,The Social Network Reimagined 4,Drama,The founding of Facebook and its legal battles. This is part 6 of an extended cinematic universe with new characters and plot twists.,2020
203,Interstellar Odyssey 2,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 7 of an extended cinematic universe with new characters and plot twists.,2009
204,The Social Network Uprising 9,Drama,The founding of Facebook and its legal battles. This is part 8 of an extended cinematic universe with new characters and plot twists.,2020
205,La La Land Odyssey 3,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 4 of an extended cinematic universe with new characters and plot twists.,2015
206,Parasite Genesis 6,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 9 of an extended cinematic universe with new characters and plot twists.,1976
207,The Godfather Saga 1,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 5 of an extended cinematic universe with new characters and plot twists.,1998
208,Inception Returns 1,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 9 of an extended cinematic universe with new characters and plot twists.,1994
209,The Shawshank Redemption Legacy 4,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 3 of an extended cinematic universe with new characters and plot twists.",2004
210,Interstellar Eclipse 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 7 of an extended cinematic universe with new characters and plot twists.,2020
211,The Matrix Odyssey 5,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 5 of an extended cinematic universe with new characters and plot twists.,1999
212,Inside Out Reimagined 3,Animation|Family,Emotions guide a young girl's life during a big move. This is part 7 of an extended cinematic universe with new characters and plot twists.,2017
213,Parasite Uprising 6,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 5 of an extended cinematic universe with new characters and plot twists.,1985
214,The Matrix Odyssey 2,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 4 of an extended cinematic universe with new characters and plot twists.,2003
215,Parasite Uprising 2,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 8 of an extended cinematic universe with new characters and plot twists.,1998
216,Interstellar Rebirth 1,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 8 of an extended cinematic universe with new characters and plot twists.,1978
217,Interstellar Legacy 9,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 6 of an extended cinematic universe with new characters and plot twists.,1985
218,Interstellar Odyssey 1,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 3 of an extended cinematic universe with new characters and plot twists.,1976
219,Inside Out Uprising 5,Animation|Family,Emotions guide a young girl's life during a big move. This is part 5 of an extended cinematic universe with new characters and plot twists.,2022
220,Interstellar Rebirth 7,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 2 of an extended cinematic universe with new characters and plot twists.,1988
221,The Green Mile Uprising 1,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 9 of an extended cinematic universe with new characters and plot twists.,1991
222,La La Land Genesis 1,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 1 of an extended cinematic universe with new characters and plot twists.,2004
223,Inside Out Rebirth 2,Animation|Family,Emotions guide a young girl's life during a big move. This is part 6 of an extended cinematic universe with new characters and plot twists.,2021
224,The Shawshank Redemption Chronicles 7,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 3 of an extended cinematic universe with new characters and plot twists.",1972
225,The Green Mile Reimagined 5,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 4 of an extended cinematic universe with new characters and plot twists.,1974
226,Interstellar Odyssey 2,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 5 of an extended cinematic universe with new characters and plot twists.,1995
227,The Matrix Reimagined 8,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 4 of an extended cinematic universe with new characters and plot twists.,1975
228,Inception Returns 5,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 2 of an extended cinematic universe with new characters and plot twists.,2016
229,The Matrix Rebirth 5,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 6 of an extended cinematic universe with new characters and plot twists.,2018
230,The Shawshank Redemption Reimagined 6,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 6 of an extended cinematic universe with new characters and plot twists.",1979
231,Inside Out Returns 8,Animation|Family,Emotions guide a young girl's life during a big move. This is part 2 of an extended cinematic universe with new characters and plot twists.,2005
232,Parasite Chronicles 2,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 3 of an extended cinematic universe with new characters and plot twists.,1979
233,The Godfather Chronicles 2,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 8 of an extended cinematic universe with new characters and plot twists.,2022
234,The Matrix Legacy 2,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 9 of an extended cinematic universe with new characters and plot twists.,2019
235,The Shawshank Redemption Genesis 2,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 5 of an extended cinematic universe with new characters and plot twists.",1994
